EntryID,LigandFormula,LigandMW,LigandID,LigandName,InChIKey,LigandSMILES,LigandofInterest,AsymID,AuthAsymID,EntityID,freeLigand,numTotalCount
1V0C,C23 H38 N7 O17 P3 S,809.571,ACO,ACETYL COENZYME *A,ZSLZBFCDCINBPY-ZSJPKINUSA-N,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O,NA,B,A,2,TRUE,1
1V0C,C18 H36 N4 O11,484.499,KNC,KANAMYCIN C,WZDRWYJKESFZMB-FQSMHNGLSA-N,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CO)O)O)N)N,NA,C,A,3,TRUE,1
1VSV,C21 H27 N7 O14 P2,663.425,NAD,NICOTINAMIDE-ADENINE-DINUCLEOTIDE,BAWFJGJZGIEFAR-NNYOXOHSSA-N,c1cc(c[n+](c1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N,NA,"E, F, G, H","A, B, C, D",2,TRUE,4
2BUE,C21 H36 N7 O16 P3 S,767.534,COA,COENZYME A,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O,NA,B,A,2,TRUE,1
2BUE,C17 H34 N4 O10,454.473,RIO,RIBOSTAMYCIN,NSKGQURZWSPSBC-VVPCINPTSA-N,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)O)O)O)N,NA,C,A,3,TRUE,1
2J9G,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"D, G","A, B",3,TRUE,2
2J9G,C10 H17 N6 O12 P3,506.196,ANP,PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)N,NA,E,A,4,TRUE,1
2J9G,C10 H15 N5 O10 P2,427.201,ADP,ADENOSINE-5'-DIPHOSPHATE,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,NA,H,B,5,TRUE,1
2JJB,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"AA, AB, BA, FA, G, GA, H, HA, I, IA, J, JA, K, KA, L, LA, M, MA, N, NA, O, OA, P, PA, Q, R, TA, UA, V, VA, W, WA, X, XA, Y, YA, Z, ZA","A, B, C, D",4,TRUE,38
2JJB,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"CA, QA, S","A, B, C",5,TRUE,3
2JJC,C2 H6 O S,78.133,DMS,DIMETHYL SULFOXIDE,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,NA,B,A,2,TRUE,1
2JJC,C4 H5 N3,95.103,LGA,PYRIMIDIN-2-AMINE,LJXQPZWIHJMPQQ-UHFFFAOYSA-N,c1cnc(nc1)N,NA,C,A,3,TRUE,1
2JJI,C36 H56 F2 N7 O8 S,784.934,0QS,"N~2~-[(2R)-2-benzyl-3-(tert-butylsulfonyl)propanoyl]-N-{(1R)-1-(cyclohexylmethyl)-3,3-difluoro-2,2-dihydroxy-4-[(2-morpholin-4-ylethyl)amino]-4-oxobutyl}-3-(1H-imidazol-3-ium-4-yl)-L-alaninamide",RRJUDVVMLCYZDV-DTXPUJKBSA-O,CC(C)(C)S(=O)(=O)NC(Cc1ccccc1)C(=O)NC(Cc2c[nH]c[nH+]2)C(=O)NC(CC3CCCCC3)C(C(C(=O)NCCN4CCOCC4)(F)F)(O)O,NA,B,A,2,TRUE,1
2JJI,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,C,A,3,TRUE,1
2JJK,C21 H26 Cl2 N4 O6 S2,565.49,R15,"N,N'-(heptane-1,7-diyldicarbamoyl)bis(3-chlorobenzenesulfonamide)",WYYQITAYQRQOJA-UHFFFAOYSA-N,c1cc(cc(c1)Cl)S(=O)(=O)NC(=O)NCCCCCCCNC(=O)NS(=O)(=O)c2cccc(c2)Cl,NA,"E, F","A, D",2,TRUE,2
2JJN,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"C, D, E, F, G",A,3,TRUE,5
2JJO,C36 H65 N O12,703.901,EY5,Erythromycin D,CLQUUOKNEOQBSW-KEGKUKQHSA-N,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)O)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)C,NA,C,A,3,TRUE,1
2JJP,C26 H28 Cl2 N4 O4,531.431,KLN,"1-ACETYL-4-(4-{[(2S,4R)-2-(2,4-DICHLOROPHENYL)-2-(1H-IMIDAZOL-1-YLMETHYL)-1,3-DIOXOLAN-4-YL]METHOXY}PHENYL)PIPERAZINE",XMAYWYJOQHXEEK-ZEQKJWHPSA-N,CC(=O)N1CCN(CC1)c2ccc(cc2)OCC3COC(O3)(Cn4ccnc4)c5ccc(cc5Cl)Cl,NA,C,A,3,TRUE,1
2JJP,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"D, E",A,4,TRUE,2
2JJQ,C14 H20 N6 O5 S,384.411,SAH,S-ADENOSYL-L-HOMOCYSTEINE,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N,NA,B,A,2,TRUE,1
2JJQ,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,"C, D",A,3,TRUE,2
2JJS,I,126.904,IOD,IODIDE ION,XMBWDFGMSWQBCA-UHFFFAOYSA-M,[I-],NA,"AA, BA, F, G, H, I, J, L, M, N, O, P, S, T, U, V, Y, Z","A, B, C, D",4,TRUE,18
2JJV,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"C, D, E, F","A, B",2,TRUE,4
2JJV,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,G,B,3,TRUE,1
2JJZ,C2 H3 O2,59.044,ACT,ACETATE ION,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-],NA,"F, J","A, C",4,TRUE,2
2JJZ,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,"H, L","B, C",5,TRUE,2
2JK3,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,C,B,2,TRUE,1
2JKA,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"D, E, F, G, I, J, K, L","A, B",3,TRUE,8
2JKB,C11 H17 N O8,291.255,SKD,"2-ACETYLAMINO-7-(1,2-DIHYDROXY-ETHYL)-3-HYDROXY-6,8-DIOXA-BICYCLO[3.2.1]OCTANE-5-CARBOXYLIC ACID",NCMJSVDTRDLWJE-YRMXFSIDSA-N,CC(=O)NC1C(CC2(OC1C(O2)C(CO)O)C(=O)O)O,NA,B,A,2,TRUE,1
2JKB,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"C, D, E, F, G, H",A,3,TRUE,6
2JKE,C6 H13 N O4,163.172,NOJ,1-DEOXYNOJIRIMYCIN,LXBIFEVIBLOUGU-JGWLITMVSA-N,C1C(C(C(C(N1)CO)O)O)O,NA,"C, I","A, B",2,TRUE,2
2JKE,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"E, F, G, H, K, L, M, N","A, B",4,TRUE,8
2JKK,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,B,A,2,TRUE,1
2JKK,C23 H25 Cl N6 O3,468.936,BI9,2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE,UYJNQQDJUOUFQJ-UHFFFAOYSA-N,CNC(=O)c1ccccc1Nc2c(cnc(n2)Nc3ccc(cc3OC)N4CCOCC4)Cl,NA,C,A,3,TRUE,1
2JKL,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"EA, FA, G, H, I, JA, KA, M, N, S, T, X, Y, Z","A, B, C, D, E, F",2,TRUE,14
2JKL,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"AA, GA, J, O, U","A, B, C, D, E",3,TRUE,5
2JKL,C11 H12 Br2 N2 O5,412.031,BRX,BROMAMPHENICOL,UWOHGNMWBGIRAQ-RKDXNWHRSA-N,c1cc(ccc1C(C(CO)NC(=O)C(Br)Br)O)[N+](=O)[O-],NA,"BA, CA, HA, K, LA, P, Q, V","A, B, C, D, E, F",4,TRUE,8
2JKL,C11 H12 Cl2 N2 O5,323.129,CLM,CHLORAMPHENICOL,WIIZWVCIJKGZOK-RKDXNWHRSA-N,c1cc(ccc1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],NA,"DA, IA, L, MA, R, W","A, B, C, D, E, F",5,TRUE,6
2JKN,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"AA, BA, FA, G, GA, H, L, M, Q, R, V, W","A, B, C, D, E, F",2,TRUE,12
2JKN,C15 H16 Cl2 N2 O8,423.202,CL8,CHLORAMPHENICOL SUCCINATE,LIRCDOVJWUGTMW-ZWNOBZJWSA-N,c1cc(ccc1C(C(COC(=O)CCC(=O)O)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],NA,"CA, HA, I, N, S, X","A, B, C, D, E, F",3,TRUE,6
2JKN,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"DA, EA, IA, J, JA, K, O, P, T, U, Y, Z","A, B, C, D, E, F",4,TRUE,12
2JKO,C25 H28 Cl N7 O2,493.989,BIJ,"7-{[(2Z,5S)-5-CHLORO-2-{[2-METHOXY-4-(4-METHYLPIPERAZIN-1-YL)PHENYL]IMINO}-2,5-DIHYDROPYRIMIDIN-4-YL]AMINO}-2-METHYL-2,3-DIHYDRO-1H-ISOINDOL-1-ONE",YKRBTLCKGPASPO-SFHVURJKSA-N,CN1CCN(CC1)c2ccc(c(c2)OC)N=C3N=CC(C(=N3)Nc4cccc5c4C(=O)N(C5)C)Cl,NA,B,A,2,TRUE,1
2JKP,C8 H15 N O4,189.209,CTS,CASTANOSPERMINE,JDVVGAQPNNXQDW-TVNFTVLESA-N,C1CN2CC(C(C(C2C1O)O)O)O,NA,"C, G","A, B",2,TRUE,2
2JKP,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"E, F, I, J","A, B",4,TRUE,4
2JKU,C8 H18 O5,194.226,PG4,TETRAETHYLENE GLYCOL,UWHCKJMYHZGTIT-UHFFFAOYSA-N,C(COCCOCCOCCO)O,NA,"B, C",A,2,TRUE,2
2JKX,C2 H3 O2,59.044,ACT,ACETATE ION,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-],NA,B,A,2,TRUE,1
2JL1,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,"C, D, E, F, G",A,3,TRUE,5
2JL1,C21 H28 N7 O17 P3,743.405,NAP,NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE,XJLXINKUBYWONI-NNYOXOHSSA-N,c1cc(c[n+](c1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)n4cnc5c4ncnc5N)OP(=O)(O)O)O)O)O)C(=O)N,NA,B,A,2,TRUE,1
2JLH,C10 H22 O6,238.278,1PE,PENTAETHYLENE GLYCOL,JLFNLZLINWHATN-UHFFFAOYSA-N,C(COCCOCCOCCOCCO)O,NA,"B, C, D, E",A,2,TRUE,4
2JLP,C N S,58.082,SCN,THIOCYANATE ION,ZMZDMBWJUHKJPS-UHFFFAOYSA-M,C(#N)[S-],NA,"I, L","B, C",4,TRUE,2
2JLQ,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,B,A,2,TRUE,1
2JLQ,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,C,A,3,TRUE,1
2JLR,C10 H17 N6 O12 P3,506.196,ANP,PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER,PVKSNHVPLWYQGJ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)N,NA,C,A,3,TRUE,1
2V4C,C9 H16 O9,268.218,KDN,deamino-beta-neuraminic acid,CLRLHXKNIYJWAW-YOQZMRDMSA-N,C1C(C(C(OC1(C(=O)O)O)C(C(CO)O)O)O)O,NA,B,A,2,TRUE,1
2V4J,C42 H52 N4 O16,868.879,SH0,"3,3',3'',3'''-[(1R,2S,3S,4S,7S,8S,11S,12S,13S,16S,19S)-3,8,13,17-tetrakis(carboxylatomethyl)-8,13-dimethyl-1,2,3,4,7,8,11,12,13,16,19,20,22,24-tetradecahydroporphyrin-2,7,12,18-tetrayl]tetrapropanoate",PTDGOSZHGZMQAZ-IIRIWOCESA-N,CC1(C(C2C=C3C(C(C(=CC4=NC(CC5C(=C(C(=N5)C=C1N2)CC(=O)O)CCC(=O)O)C(C4CC(=O)O)CCC(=O)O)N3)CCC(=O)O)(C)CC(=O)O)CCC(=O)O)CC(=O)O,NA,"I, P","A, D",5,TRUE,2
2V4J,O3 S,80.063,SO3,SULFITE ION,LSNNMFCWUKXFEE-UHFFFAOYSA-L,[O-]S(=O)[O-],NA,"M, T","B, E",7,TRUE,2
2V4N,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,D,A,3,TRUE,1
2V4N,O4 P,94.971,PO4,PHOSPHATE ION,NBIIXXVUZAFLBC-UHFFFAOYSA-K,[O-]P(=O)([O-])[O-],NA,E,A,4,TRUE,1
2V4V,C5 H10 O5,150.13,XYP,beta-D-xylopyranose,SRBFZHDQGSBBOR-KKQCNMDGSA-N,C1C(C(C(C(O1)O)O)O)O,NA,B,A,2,TRUE,1
2V57,C13 H11 N3,209.247,PRL,PROFLAVIN,WDVSHHCDHLJJJR-UHFFFAOYSA-N,c1cc(cc2c1cc3ccc(cc3n2)N)N,NA,"E, I","A, C",2,TRUE,2
2V57,C3 H8 O,60.095,IPA,ISOPROPYL ALCOHOL,KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,NA,"F, K","A, C",3,TRUE,2
2V57,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"G, H, J, L, M, N","B, C, D",4,TRUE,6
2V58,C13 H9 Br2 N5,395.052,LZJ,"6-(2,6-dibromophenyl)pyrido[2,3-d]pyrimidine-2,7-diamine",HGIPWJYTPOHUGK-UHFFFAOYSA-N,c1cc(c(c(c1)Br)c2cc3cnc(nc3nc2N)N)Br,NA,"C, E","A, B",2,TRUE,2
2V58,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,"D, F","A, B",3,TRUE,2
2V5G,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,B,A,2,TRUE,1
2VNA,C21 H28 N7 O17 P3,743.405,NAP,NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE,XJLXINKUBYWONI-NNYOXOHSSA-N,c1cc(c[n+](c1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)n4cnc5c4ncnc5N)OP(=O)(O)O)O)O)O)C(=O)N,NA,B,A,2,TRUE,1
2VND,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,B,A,2,TRUE,1
2VNF,C4 H10 O2 S2,154.251,DTU,"(2R,3S)-1,4-DIMERCAPTOBUTANE-2,3-DIOL",VHJLVAABSRFDPM-ZXZARUISSA-N,C(C(C(CS)O)O)S,NA,I,C,6,TRUE,1
2VNF,C4 H10 O2 S2,154.251,DTT,"2,3-DIHYDROXY-1,4-DITHIOBUTANE",VHJLVAABSRFDPM-IMJSIDKUSA-N,C(C(C(CS)O)O)S,NA,F,A,4,TRUE,1
2VNJ,C27 H33 N9 O15 P2,785.55,FAD,FLAVIN-ADENINE DINUCLEOTIDE,VWWQXMAJTJZDQX-UYBVJOGSSA-N,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)n5cnc6c5ncnc6N)O)O)O)O)O,NA,B,A,2,TRUE,1
2VNJ,C21 H28 N7 O17 P3,743.405,NAP,NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE,XJLXINKUBYWONI-NNYOXOHSSA-N,c1cc(c[n+](c1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)n4cnc5c4ncnc5N)OP(=O)(O)O)O)O)O)C(=O)N,NA,C,A,3,TRUE,1
2VNJ,C13 H26 O5 S,294.408,HTG,heptyl 1-thio-beta-D-glucopyranoside,HPEGNLMTTNTJSP-LBELIVKGSA-N,CCCCCCCSC1C(C(C(C(O1)CO)O)O)O,NA,D,A,4,TRUE,1
2VNK,C27 H33 N9 O15 P2,785.55,FAD,FLAVIN-ADENINE DINUCLEOTIDE,VWWQXMAJTJZDQX-UYBVJOGSSA-N,Cc1cc2c(cc1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)n5cnc6c5ncnc6N)O)O)O)O)O,NA,"E, G, I, K","A, B, C, D",2,TRUE,4
2VNK,C21 H28 N7 O17 P3,743.405,NAP,NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE,XJLXINKUBYWONI-NNYOXOHSSA-N,c1cc(c[n+](c1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)n4cnc5c4ncnc5N)OP(=O)(O)O)O)O)O)C(=O)N,NA,"F, H, J, L","A, B, C, D",3,TRUE,4
2VNL,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,"B, C, D",A,2,TRUE,3
2VNM,C31 H37 F3 N4 O4 S,618.71,CM8,"N-[(1S,2R)-1-benzyl-2-hydroxy-3-{[3-(trifluoromethyl)benzyl]amino}propyl]-3-(1,1-dioxido-1,2-thiazinan-2-yl)-5-(ethylamino)benzamide",GPMRAYXRPZKTFK-URLMMPGGSA-N,CCNc1cc(cc(c1)N2CCCCS2(=O)=O)C(=O)NC(Cc3ccccc3)C(CNCc4cccc(c4)C(F)(F)F)O,NA,"B, C",A,2,TRUE,2
2VNN,C32 H35 F3 N4 O4 S,628.705,CM7,"N-[(1S,2R)-1-benzyl-2-hydroxy-3-{[3-(trifluoromethyl)benzyl]amino}propyl]-7-ethyl-1-methyl-3,4-dihydro-1H-[1,2,5]thiadiazepino[3,4,5-hi]indole-9-carboxamide 2,2-dioxide",MSHYGGHZTGSTOG-LMSSTIIKSA-N,CCc1cn2c3c1cc(cc3N(S(=O)(=O)CC2)C)C(=O)NC(Cc4ccccc4)C(CNCc5cccc(c5)C(F)(F)F)O,NA,B,A,2,TRUE,1
2VNP,C4 H13 N O7 P2,249.096,DED,2-DIMETHYLAMINO-ETHYL-DIPHOSPHATE,QGKJQRINUQGSJM-UHFFFAOYSA-N,CN(C)CCOP(=O)(O)OP(=O)(O)O,NA,"E, H","A, B",4,TRUE,2
2VNQ,C3 H5 N2,69.085,IMD,IMIDAZOLE,RAXXELZNTBOGNW-UHFFFAOYSA-O,c1c[nH+]c[nH]1,NA,"D, G","A, B",3,TRUE,2
2VNQ,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"E, H","A, B",4,TRUE,2
2VNS,C6 H8 O7,192.124,CIT,CITRIC ACID,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,NA,C,A,2,TRUE,1
2VNV,C7 H14 O6,194.182,MMA,methyl alpha-D-mannopyranoside,HOVAGTYPODGVJG-VEIUFWFVSA-N,COC1C(C(C(C(O1)CO)O)O)O,NA,"F, J, N, Q, U","A, B, C, D, E",2,TRUE,5
2VNV,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"I, M, T, X","A, B, D, E",4,TRUE,4
2VNW,C11 H16 N6,232.285,M01,1-[1-(9H-purin-6-yl)piperidin-4-yl]methanamine,ZUPAKXAQBFFNRP-UHFFFAOYSA-N,c1[nH]c2c(n1)c(ncn2)N3CCC(CC3)CN,NA,C,A,3,TRUE,1
2VNY,C10 H14 N6,218.258,M02,1-(9H-purin-6-yl)piperidin-4-amine,HPTRRFNSSSRNEL-UHFFFAOYSA-N,c1[nH]c2c(n1)c(ncn2)N3CCC(CC3)N,NA,C,A,3,TRUE,1
2VO0,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,C,A,3,TRUE,1
2VO0,C6 H14 O2,118.174,MRD,"(4R)-2-METHYLPENTANE-2,4-DIOL",SVTBMSDMJJWYQN-RXMQYKEDSA-N,CC(CC(C)(C)O)O,NA,D,A,4,TRUE,1
2VO0,C2 H6 O2,62.068,EDO,"1,2-ETHANEDIOL",LYCAIKOWRPUZTN-UHFFFAOYSA-N,C(CO)O,NA,"E, H","A, I",5,TRUE,2
2VO0,C18 H20 Cl N5,341.838,M03,"1-[4-(4-chlorophenyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine",QOZMRRGNAZNWDN-UHFFFAOYSA-N,c1cc(ccc1C2(CCN(CC2)c3c4cc[nH]c4ncn3)CN)Cl,NA,"F, G",A,6,TRUE,2
2VO2,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,D,X,4,TRUE,1
2VO3,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,C,A,3,TRUE,1
2VO3,C19 H22 Cl N5,355.864,M04,"1-[4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-yl]methanamine",KCWPSUKJCKZEAO-UHFFFAOYSA-N,c1cc(ccc1CC2(CCN(CC2)c3c4cc[nH]c4ncn3)CN)Cl,NA,D,A,4,TRUE,1
2VO4,C17 H22 N4 O8 S,442.444,GTB,S-(P-NITROBENZYL)GLUTATHIONE,OAWORKDPTSAMBZ-STQMWFEESA-N,c1cc(ccc1CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)[N+](=O)[O-],NA,"C, F","A, B",2,TRUE,2
2VO4,C7 H8 N O2 S,170.209,4NM,4-NITROPHENYL METHANETHIOL,OTHKGVFNUSHUQO-UHFFFAOYSA-O,c1cc(ccc1CS)[N+](=O)O,NA,"D, G","A, B",3,TRUE,2
2VO4,C3 H8 O3,92.094,GOL,GLYCEROL,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C(C(CO)O)O,NA,"E, H","A, B",4,TRUE,2
2VO6,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,C,A,3,TRUE,1
2VO6,C18 H21 Cl N5,342.846,M05,"4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-aminium",RZIDZIGAXXNODG-UHFFFAOYSA-O,c1cc(ccc1CC2(CCN(CC2)c3c4cc[nH]c4ncn3)[NH3+])Cl,NA,D,A,4,TRUE,1
2VO7,C18 H21 Cl N5,342.846,M05,"4-(4-chlorobenzyl)-1-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)piperidin-4-aminium",RZIDZIGAXXNODG-UHFFFAOYSA-O,c1cc(ccc1CC2(CCN(CC2)c3c4cc[nH]c4ncn3)[NH3+])Cl,NA,"C, D",A,3,TRUE,2
2VO9,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,"E, F, H, I, K, L","A, B, C",3,TRUE,6
2VOC,C4 H10 O3,106.12,PEG,DI(HYDROXYETHYL)ETHER,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C(COCCO)O,NA,C,A,2,TRUE,1
2VOF,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,"E, F","A, C",3,TRUE,2
2VOG,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,"C, D",A,3,TRUE,2
2VOH,C6 H8 O7,192.124,CIT,CITRIC ACID,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,NA,C,A,3,TRUE,1
2VOH,O4 S,96.063,SO4,SULFATE ION,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-],NA,D,B,4,TRUE,1
2VOI,Cl,35.453,CL,CHLORIDE ION,VEXZGXHMUGYJMC-UHFFFAOYSA-M,[Cl-],NA,C,A,3,TRUE,1
2VOS,C10 H15 N5 O10 P2,427.201,ADP,ADENOSINE-5'-DIPHOSPHATE,XTWYTFMLZFPYCI-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,NA,B,A,2,TRUE,1
